descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
MESEL x 1  comp.rec.,,,,,,,,,,8050051,,,,,,,53.405,,,,,MESEL x 1  comp.rec. 
MESEL x  2 comp.rec.,,,,,,,,,,8050052,,,,,,,53.405,,,,,MESEL x  2 comp.rec. 
MESOTEROL 5 5 mg.x 30 comp.Rec.,,,,,,,,,,8050113,,,,,,,54.197,,,,,MESOTEROL 5 5 mg.x 30 comp.Rec. 
MESOTEROL 10 10 mg.x 30 comp.Rec.,,,,,,,,,,8050115,,,,,,,54.197,,,,,MESOTEROL 10 10 mg.x 30 comp.Rec. 
MESOTEROL 20 20 mg.x 30 comp.Rec.,,,,,,,,,,8050116,,,,,,,54.197,,,,,MESOTEROL 20 20 mg.x 30 comp.Rec. 
MOLAGAR 4 mg.x 20 comp.,,,,,,,,,,8050301,,,,,,,55.480,,,,,MOLAGAR 4 mg.x 20 comp. 
MOLAGAR 4 mg.x 6 amp.,,,,,,,,,,8050303,,,,,,,55.480,,,,,MOLAGAR 4 mg.x 6 amp. 
NATROPAS 75 mg.env.x 100 comp.,,,,,,,,,,8050021,,,,,,,33.709,,,,,NATROPAS 75 mg.env.x 100 comp. 
OSELTAMIVIR FINADIET 75 mg.x  10 cap.,,,,,,,,,,8050126,,,,,,,53.303,,,,,OSELTAMIVIR FINADIET 75 mg.x  10 cap. 
PISONO 5 mg.x 20 comp.,,,,,,,,,,8050048,,,,,,,55.128,,,,,PISONO 5 mg.x 20 comp. 
PISONO 5 mg.x 30 comp.,,,,,,,,,,8050151,,,,,,,55.128,,,,,PISONO 5 mg.x 30 comp. 
PISONO 10 mg.x 20 comp.,,,,,,,,,,8050049,,,,,,,55.128,,,,,PISONO 10 mg.x 20 comp. 
PISONO 10 mg.x 30 comp.,,,,,,,,,,8050152,,,,,,,55.128,,,,,PISONO 10 mg.x 30 comp. 
PROSTACUR bls.x 50 comp.,,,,,,,,,,8050064,,,,,,,35.588,,,,,PROSTACUR bls.x 50 comp. 
PROSTACUR bls.x 100 comp.,,,,,,,,,,8050065,,,,,,,35.588,,,,,PROSTACUR bls.x 100 comp. 
REGULANE AF comp.masticable x 10,,,,,,,,,,8050040,,,,,,,47.143,,,,,REGULANE AF comp.masticable x 10 
REGULANE x 10 comp.,,,,,,,,,,8050042,,,,,,,34.950,,,,,REGULANE x 10 comp. 
REGULANE x 20 comp.,,,,,,,,,,8050045,,,,,,,34.950,,,,,REGULANE x 20 comp. 
REGULANE x 30 comp.,,,,,,,,,,8050046,,,,,,,34.950,,,,,REGULANE x 30 comp. 
REGULANE CB x 10 CÃ¡ps Bl.,,,,,,,,,,8050136,,,,,,,34.950,,,,,REGULANE CB x 10 CÃ¡ps Bl. 
REGULANE CB x 20 CÃ¡ps Bl.,,,,,,,,,,8050137,,,,,,,34.950,,,,,REGULANE CB x 20 CÃ¡ps Bl. 
REGULANE CB x 30 CÃ¡ps Bl.,,,,,,,,,,8050138,,,,,,,34.950,,,,,REGULANE CB x 30 CÃ¡ps Bl. 
REGULANE SoluciÃ³n x 60 ml.,,,,,,,,,,8050044,,,,,,,34.950,,,,,REGULANE SoluciÃ³n x 60 ml. 
SELKET 500 500 Mg. x 10 Comp. Rec.,,,,,,,,,,8050387,,,,,,,56.296,,,,,SELKET 500 500 Mg. x 10 Comp. Rec. 
SELKET 500 500 Mg. x 14 Comp. Rec.,,,,,,,,,,8050388,,,,,,,56.296,,,,,SELKET 500 500 Mg. x 14 Comp. Rec. 
SELKET 500 500 Mg. x 20 Comp. Rec.,,,,,,,,,,8050389,,,,,,,56.296,,,,,SELKET 500 500 Mg. x 20 Comp. Rec. 
SOLUSTRES x 16 comp.,,,,,,,,,,8050054,,,,,,,32.304,,,,,SOLUSTRES x 16 comp. 
TADAL 20 20 Mg. Comp. Rec. X 2,,,,,,,,,,8050380,,,,,,,57.804,,,,,TADAL 20 20 Mg. Comp. Rec. X 2 
TADAL 20 20 Mg. Comp. Rec. X 4,,,,,,,,,,8050381,,,,,,,57.804,,,,,TADAL 20 20 Mg. Comp. Rec. X 4 
TADAL 20 20 Mg. Comp. Rec. X 8,,,,,,,,,,8050382,,,,,,,57.804,,,,,TADAL 20 20 Mg. Comp. Rec. X 8 
TADAL 5 5 Mg. Comp. Rec. X 28,,,,,,,,,,8050378,,,,,,,57.804,,,,,TADAL 5 5 Mg. Comp. Rec. X 28 
"TANSILOPROST 0,4 mg.x 30 cap.",,,,,,,,,,8050050,,,,,,,52.688,,,,,"TANSILOPROST 0,4 mg.x 30 cap. "
"TANSILOPROST 0,4 mg.x 60 cap.",,,,,,,,,,8050053,,,,,,,52.688,,,,,"TANSILOPROST 0,4 mg.x 60 cap. "
TANSILOPROST DUOx 30 cap.lib.cont,,,,,,,,,,8050154,,,,,,,56.939,,,,,TANSILOPROST DUOx 30 cap.lib.cont 
TANSILOPROST DUOx 60 cap.lib.cont,,,,,,,,,,8050164,,,,,,,56.939,,,,,TANSILOPROST DUOx 60 cap.lib.cont 
TANSILOPROST RETARDx 30 comp.lib.pro,,,,,,,,,,8050168,,,,,,,52.688,,,,,TANSILOPROST RETARDx 30 comp.lib.pro 
TANSILOPROST RETARDx 60 comp.lib.pro,,,,,,,,,,8050169,,,,,,,52.688,,,,,TANSILOPROST RETARDx 60 comp.lib.pro 
TANSILOPROST SEC COMP REC X 30,,,,,,,,,,8050412,,,,,,,58.832,,,,,TANSILOPROST SEC COMP REC X 30 
VAGRAN 120 120 Mg. x 10 Comp. Rec.,,,,,,,,,,8050383,,,,,,,58.088,,,,,VAGRAN 120 120 Mg. x 10 Comp. Rec. 
VAGRAN 120 120 Mg. x 30 Comp. Rec.,,,,,,,,,,8050384,,,,,,,58.088,,,,,VAGRAN 120 120 Mg. x 30 Comp. Rec. 
VAGRAN 180 180 Mg. X 10 Comp. Rec.,,,,,,,,,,8050385,,,,,,,58.088,,,,,VAGRAN 180 180 Mg. X 10 Comp. Rec. 
XINA Comp. Lib. Modif. X 30,,,,,,,,,,8050402,,,,,,,57.145,,,,,XINA Comp. Lib. Modif. X 30 
,,,,,,,,,,PSICOTROPICOS LISTA  IV,,,,,,,,,,,, 
"INDUZEPAM 0,25 mg.x 30 comp.",,,,,,,,,,8050267,,,,,,,50.619,,,,,"INDUZEPAM 0,25 mg.x 30 comp. "
"INDUZEPAM 0,50 mg.x 30 comp.",,,,,,,,,,8050269,,,,,,,50.619,,,,,"INDUZEPAM 0,50 mg.x 30 comp. "
"INDUZEPAM 0,50 mg.x 50 comp.",,,,,,,,,,8050270,,,,,,,50.619,,,,,"INDUZEPAM 0,50 mg.x 50 comp. "
INDUZEPAM 2 mg.x 30 comp.,,,,,,,,,,8050272,,,,,,,50.619,,,,,INDUZEPAM 2 mg.x 30 comp. 
INDUZEPAM 2 mg.x 50 comp.,,,,,,,,,,8050273,,,,,,,50.619,,,,,INDUZEPAM 2 mg.x 50 comp. 
"INDUZEPAM 0,25%soluciÃ³n x 20 ml.",,,,,,,,,,8050274,,,,,,,50.619,,,,,"INDUZEPAM 0,25%soluciÃ³n x 20 ml. "
PAUSAFREN T bls.x 40 comp.,,,,,,,,,,8050024,,,,,,,33.009,,,,,PAUSAFREN T bls.x 40 comp. 
TENCILAN 10 mg.Fco.x 50 comp.,,,,,,,,,,8050036,,,,,,,33.588,,,,,TENCILAN 10 mg.Fco.x 50 comp. 
TENCILAN 5  mg.Fco.x 50 comp.,,,,,,,,,,8050034,,,,,,,33.588,,,,,TENCILAN 5  mg.Fco.x 50 comp. 
,,,,,,,,,,VENTA LIBRE,,,,,,,,,,,, 
SUPERMINOX 2% SOLUCION TOPICA X 90 ML.,,,,,,,,,,8050134,,,,,,,38.776,,,,,SUPERMINOX 2% SOLUCION TOPICA X 90 ML. 
SUPERMINOX 5% SOLUCION TOPICA X 90 ML.,,,,,,,,,,8050133,,,,,,,38.776,,,,,SUPERMINOX 5% SOLUCION TOPICA X 90 ML. 
,,,,,,,,,,TRATAMIENTOS ESPECIALES,,,,,,,,,,,, 
CRUZAL URO x 1 Fco. Vial x 50 ml.,,,,,,,,,,8050184,,,,,,,57.253,,,,,CRUZAL URO x 1 Fco. Vial x 50 ml. 
,,,,,,,,,,LINEA ONCOLOGICA,,,,,,,,,,,, 
ENORDEN 250 Mg. x 120 Comp.,,,,,,,,,,8050403,,,,,,,58.268,,,,,ENORDEN 250 Mg. x 120 Comp. 
CALMADOR 50 MG. X100 AMP.,,,,,,,,,,8071117,,,,,,,38.641,,,,,CALMADOR 50 MG. X100 AMP. 
CALMADOR 100 MG. X100 AMP.,,,,,,,,,,8071033,,,,,,,38.641,,,,,CALMADOR 100 MG. X100 AMP. 
BIFORT M 50 FRU x 2 Disp. X 12,,,,,,,,,,8059298,,,,,,,47.122,,,,,BIFORT M 50 FRU x 2 Disp. X 12 
LETONDAL ENV P/FCIA X 12,,,,,,,,,,8059153,,,,,,,38.791,,,,,LETONDAL ENV P/FCIA X 12 
REGULANE CB X 10 Disp. X 12,,,,,,,,,,8059136,,,,,,,34.950,,,,,REGULANE CB X 10 Disp. X 12 
DUSTALOX 5 ML,,,,,,,,,,,,,,,,,,,,,,DUSTALOX 5 ML 
ELIPTIC OFTENO 5 ML,,,,,,,,,,,,,,,,,,,,,,ELIPTIC OFTENO 5 ML 
ELIPTIC OFTENO PF 5 ML,,,,,,,,,,,,,,,,,,,,,,ELIPTIC OFTENO PF 5 ML 
FLUMETOL NF OFTENO 5ML,,,,,,,,,,,,,,,,,,,,,,FLUMETOL NF OFTENO 5ML 
GAAP OFTENO 3 ML,,,,,,,,,,,,,,,,,,,,,,GAAP OFTENO 3 ML 
GAAP OFTENO PF 3 ML,,,,,,,,,,,,,,,,,,,,,,GAAP OFTENO PF 3 ML 
SOPHIPREN OFTENO 5 ML,,,,,,,,,,,,,,,,,,,,,,SOPHIPREN OFTENO 5 ML 
SOPHIXIN DX OFTENO 5 ML,,,,,,,,,,,,,,,,,,,,,,SOPHIXIN DX OFTENO 5 ML 
TRAZIDEX OFTENO 5 ML,,,,,,,,,,,,,,,,,,,,,,TRAZIDEX OFTENO 5 ML 
ZEBESTEN 5 ML,,,,,,,,,,,,,,,,,,,,,,ZEBESTEN 5 ML 
ACCU-CHEK ACTIVE GLUCOSA TIRAS X 25,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE GLUCOSA TIRAS X 25 
ACCU-CHEK ACTIVE GLUCOSA TIRAS X 25,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE GLUCOSA TIRAS X 25 
ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50 
ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50 
ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50 (U.I.),,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE GLUCOSA TIRAS X 50 (U.I.) 
ACCU-CHEK ACTIVE KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE KIT 
ACCU-CHEK ACTIVE KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE KIT 
ACCU-CHEK ACTIVE CONTROL,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK ACTIVE CONTROL 
ACCU-CHEK FASTCLIX 24 LANCETAS,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK FASTCLIX 24 LANCETAS 
ACCU-CHEK FASTCLIX 102 LANCETAS,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK FASTCLIX 102 LANCETAS 
ACCU-CHEK FASTCLIX KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK FASTCLIX KIT 
ACCU-CHEK FASTCLIX KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK FASTCLIX KIT 
ACCU-CHEK PERFORMA X 25,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK PERFORMA X 25 
ACCU-CHEK PERFORMA X 50,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK PERFORMA X 50 
ACCU-CHEK PERFORMA X 50 (U.I.),,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK PERFORMA X 50 (U.I.) 
ACCU-CHEK PERFORMA CONTROL,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK PERFORMA CONTROL 
ACCU-CHEK PERFORMA II KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK PERFORMA II KIT 
ACCU-CHEK GUIDE X 25,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE X 25 
ACCU-CHEK GUIDE X 50,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE X 50 
ACCU-CHEK GUIDE KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE KIT 
ACCU-CHEK GUIDE X 50 (U.I.),,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE X 50 (U.I.) 
ACCU-CHEK GUIDE CONTROL,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE CONTROL 
ACCU-CHEK GUIDE KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK GUIDE KIT 
ACCU-CHEK MULTICLIX LANCET 102,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK MULTICLIX LANCET 102 
ACCU-CHEK MULTICLIX LANCET 24,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK MULTICLIX LANCET 24 
ACCU-CHEK MULTICLIX KIT,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK MULTICLIX KIT 
ACCU-CHEK SOFTCLIX NEW LANCETAS X 25,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK SOFTCLIX NEW LANCETAS X 25 
ACCU-CHEK SOFTCLIX NEW LANCETAS X 200,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK SOFTCLIX NEW LANCETAS X 200 
ACCU-CHEK SOFTCLIX PUNZADOR X 1,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK SOFTCLIX PUNZADOR X 1 
ACCU-CHEK SAFE-T-PRO UNO,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK SAFE-T-PRO UNO 
ACCU-CHEK 360 SOFTWARE INTERNACIONAL,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK 360 SOFTWARE INTERNACIONAL 
ACCU-CHEK SMART PIX 2,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK SMART PIX 2 
ACCU-CHEK 360 USB CABLE,,,,,,,,,,,,,,,,,,,,,,ACCU-CHEK 360 USB CABLE 
AGUJAS ACCU-FINE 4MM 32G,,,,,,,,,,,,,,,,,,,,,,AGUJAS ACCU-FINE 4MM 32G 
AGUJAS ACCU-FINE 4MM 32G,,,,,,,,,,,,,,,,,,,,,,AGUJAS ACCU-FINE 4MM 32G 
AGUJAS ACCU-FINE 6MM 32G,,,,,,,,,,,,,,,,,,,,,,AGUJAS ACCU-FINE 6MM 32G 
AGUJAS ACCU-FINE 6MM 31G,,,,,,,,,,,,,,,,,,,,,,AGUJAS ACCU-FINE 6MM 31G 
ESPADOL DETTOL TOALLAS ANTIBACTERIALES 10 U10 Toallas,10 Toallas,,,,,,,,,,,,,,,,,,1898.0,ESPADOL DETTOL TOALLAS ANTIBACTERIALES 10 U,10 Toallas,ESPADOL DETTOL TOALLAS ANTIBACTERIALES 10 U10 Toallas 10 Toallas
ESPADOL TOALLITAS SKIN X 1010 Toallas,10 Toallas,,,,,,,,,,,,,,,,,,3059509.0,ESPADOL TOALLITAS SKIN X 10,10 Toallas,ESPADOL TOALLITAS SKIN X 1010 Toallas 10 Toallas
ESPADOL TOALLITAS X 5050 Toallas,50 Toallas,,,,,,,,,,,,,,,,,,1899.0,ESPADOL TOALLITAS X 50,50 Toallas,ESPADOL TOALLITAS X 5050 Toallas 50 Toallas
ESPDL AR BSORIGINAL80GX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3132173.0,ESPDL AR BSORIGINAL80GX1,1 x 80 gr,ESPDL AR BSORIGINAL80GX11 x 80 gr 80 gr
ESPDL AR BSSKINCARE80GX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3140485.0,ESPDL AR BSSKINCARE80GX1,1 x 80 gr,ESPDL AR BSSKINCARE80GX11 x 80 gr 80 gr
ESPDL AR BSACTIVEDEO80GRX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3136038.0,ESPDL AR BSACTIVEDEO80GRX1,1 x 80 gr,ESPDL AR BSACTIVEDEO80GRX11 x 80 gr 80 gr
ESPDL AR BSCREMOSO80GRX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3136037.0,ESPDL AR BSCREMOSO80GRX1,1 x 80 gr,ESPDL AR BSCREMOSO80GRX11 x 80 gr 80 gr
ESPDL AR BSALOE80GRX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3136040.0,ESPDL AR BSALOE80GRX1,1 x 80 gr,ESPDL AR BSALOE80GRX11 x 80 gr 80 gr
ESPDL AR BSEXFOLIANTE80GRX11 x 80 gr,80 gr,,,,,,,,,,,,,,,,,,3136039.0,ESPDL AR BSEXFOLIANTE80GRX1,1 x 80 gr,ESPDL AR BSEXFOLIANTE80GRX11 x 80 gr 80 gr
ESPDL AR BSALOE80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136221.0,ESPDL AR BSALOE80GRX3,3 x 80 gr,ESPDL AR BSALOE80GRX33 x 80 gr 240 gr
ESPDL AR BSORIGINAL80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136226.0,ESPDL AR BSORIGINAL80GRX3,3 x 80 gr,ESPDL AR BSORIGINAL80GRX33 x 80 gr 240 gr
ESPDL AR BSSKINCARE80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136225.0,ESPDL AR BSSKINCARE80GRX3,3 x 80 gr,ESPDL AR BSSKINCARE80GRX33 x 80 gr 240 gr
ESPDL AR BSACTIVEDEO80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136223.0,ESPDL AR BSACTIVEDEO80GRX3,3 x 80 gr,ESPDL AR BSACTIVEDEO80GRX33 x 80 gr 240 gr
ESPDL AR BSCREMOSO80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136224.0,ESPDL AR BSCREMOSO80GRX3,3 x 80 gr,ESPDL AR BSCREMOSO80GRX33 x 80 gr 240 gr
ESPDL AR BSEXFOLIANTE80GRX33 x 80 gr,240 gr,,,,,,,,,,,,,,,,,,3136222.0,ESPDL AR BSEXFOLIANTE80GRX3,3 x 80 gr,ESPDL AR BSEXFOLIANTE80GRX33 x 80 gr 240 gr
ESPADOL ANTISEPTICO 125 ML1 x 125 cc,125 cc,,,,,,,,,,,,,,,,,,852.0,ESPADOL ANTISEPTICO 125 ML,1 x 125 cc,ESPADOL ANTISEPTICO 125 ML1 x 125 cc 125 cc
ESPADOL ANTISEPTICO 250 ML1 x 250 cc,250 cc,,,,,,,,,,,,,,,,,,853.0,ESPADOL ANTISEPTICO 250 ML,1 x 250 cc,ESPADOL ANTISEPTICO 250 ML1 x 250 cc 250 cc
ESPADOL ALCOHOL GEL 50 ML1 x 50 ml,50 ml,,,,,,,,,,,,,,,,,,14890.0,ESPADOL ALCOHOL GEL 50 ML,1 x 50 ml,ESPADOL ALCOHOL GEL 50 ML1 x 50 ml 50 ml
ESPADOL ALCOHOL GEL 200 ML1 x 200 ml,200 ml,,,,,,,,,,,,,,,,,,14891.0,ESPADOL ALCOHOL GEL 200 ML,1 x 200 ml,ESPADOL ALCOHOL GEL 200 ML1 x 200 ml 200 ml
ESPADOL JABON LIQUIDO ORIGINAL DP 500 ML1 x 500 ml,500 ml,,,,,,,,,,,,,,,,,,3193634.0,ESPADOL JABON LIQUIDO ORIGINAL DP 500 ML,1 x 500 ml,ESPADOL JABON LIQUIDO ORIGINAL DP 500 ML1 x 500 ml 500 ml
ESPADOL JABON LIQUIDO SKINCARE DP 500 ML1 x 500 ml,500 ml,,,,,,,,,,,,,,,,,,3193635.0,ESPADOL JABON LIQUIDO SKINCARE DP 500 ML,1 x 500 ml,ESPADOL JABON LIQUIDO SKINCARE DP 500 ML1 x 500 ml 500 ml
ESPADOL JAB. LIQ. ORIGINAL PUMP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193636.0,ESPADOL JAB. LIQ. ORIGINAL PUMP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. ORIGINAL PUMP 220ML1 x 220 ml 220 ml
ESPADOL JAB. LIQ. CREMOSO DP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193637.0,ESPADOL JAB. LIQ. CREMOSO DP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. CREMOSO DP 220ML1 x 220 ml 220 ml
ESPADOL JAB. LIQ. SKINCARE DP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193638.0,ESPADOL JAB. LIQ. SKINCARE DP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. SKINCARE DP 220ML1 x 220 ml 220 ml
ESPADOL JABÃN LÃQUIDO SKINC PUMP 220ML1 x 250 ml,250 ml,,,,,,,,,,,,,,,,,,3193639.0,ESPADOL JABÃN LÃQUIDO SKINC PUMP 220ML,1 x 250 ml,ESPADOL JABÃN LÃQUIDO SKINC PUMP 220ML1 x 250 ml 250 ml
ESPADOL JABÃN LÃQUIDO CREMOS PUMP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193640.0,ESPADOL JABÃN LÃQUIDO CREMOS PUMP 220ML,1 x 220 ml,ESPADOL JABÃN LÃQUIDO CREMOS PUMP 220ML1 x 220 ml 220 ml
ESPADOL JABÃN LÃQUIDO ORIGPUMP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193651.0,ESPADOL JABÃN LÃQUIDO ORIGPUMP 220ML,1 x 220 ml,ESPADOL JABÃN LÃQUIDO ORIGPUMP 220ML1 x 220 ml 220 ml
ESPADOL JABÃN LÃQUIDO REV PUMP 220ML1 x 220 ml,220 ml,,,,,,,,,,,,,,,,,,3193653.0,ESPADOL JABÃN LÃQUIDO REV PUMP 220ML,1 x 220 ml,ESPADOL JABÃN LÃQUIDO REV PUMP 220ML1 x 220 ml 220 ml
VEET BANDA CORPORAL PIEL SENSIBLE x12st1 X 6 Bandas Dobles,6 Bandas Dobles,,,,,,,,,,,,,,,,,,3273575.0,VEET BANDA CORPORAL PIEL SENSIBLE x12st,1 X 6 Bandas Dobles,VEET BANDA CORPORAL PIEL SENSIBLE x12st1 X 6 Bandas Dobles 6 Bandas Dobles
VEET BANDA AXILA & BIKINI PIEL SENSIBLE x16st1 X 8 Bandas Dobles,8 Bandas Dobles,,,,,,,,,,,,,,,,,,3244401.0,VEET BANDA AXILA & BIKINI PIEL SENSIBLE x16st,1 X 8 Bandas Dobles,VEET BANDA AXILA & BIKINI PIEL SENSIBLE x16st1 X 8 Bandas Dobles 8 Bandas Dobles
VEET BANDA FACIAL PIEL SENSIBLE x16st1 X 10 Bandas Dobles,10 Bandas Dobles,,,,,,,,,,,,,,,,,,3242679.0,VEET BANDA FACIAL PIEL SENSIBLE x16st,1 X 10 Bandas Dobles,VEET BANDA FACIAL PIEL SENSIBLE x16st1 X 10 Bandas Dobles 10 Bandas Dobles
VEET AR SHOWERSENSIT150MLX51 X 150 ML,150 ml,,,,,,,,,,,,,,,,,,3233770.0,VEET AR SHOWERSENSIT150MLX5,1 X 150 ML,VEET AR SHOWERSENSIT150MLX51 X 150 ML 150 ml
VEET AR 6X100ML BUASENS1 x 100 ml,100 ml,,,,,,,,,,,,,,,,,,3200970.0,VEET AR 6X100ML BUASENS,1 x 100 ml,VEET AR 6X100ML BUASENS1 x 100 ml 100 ml
CREMA KIT FACIAL 2X50ML2 x 50 ml,100 ml,,,,,,,,,,,,,,,,,,3233792.0,CREMA KIT FACIAL 2X50ML,2 x 50 ml,CREMA KIT FACIAL 2X50ML2 x 50 ml 100 ml
VEET LN BCNORMAL100MLX121 x 100 ml,100 ml,,,,,,,,,,,,,,,,,,3233733.0,VEET LN BCNORMAL100MLX12,1 x 100 ml,VEET LN BCNORMAL100MLX121 x 100 ml 100 ml
VEET LN BCSENSITIVE100MLX121 x 100 ml,100 ml,,,,,,,,,,,,,,,,,,3233735.0,VEET LN BCSENSITIVE100MLX12,1 x 100 ml,VEET LN BCSENSITIVE100MLX121 x 100 ml 100 ml
VEET LN BCMENNORMAL200MLX61 x 200 ml,200 ml,,,,,,,,,,,,,,,,,,3233791.0,VEET LN BCMENNORMAL200MLX6,1 x 200 ml,VEET LN BCMENNORMAL200MLX61 x 200 ml 200 ml
K-Y AR JELLY 100 G1 x 100 gr,100 gr,,,,,,,,,,,,,,,,,,3140246.0,K-Y AR JELLY 100 G,1 x 100 gr,K-Y AR JELLY 100 G1 x 100 gr 100 gr
K-Y AR JELLY 50 G1 x 50 gr,50 gr,,,,,,,,,,,,,,,,,,3140247.0,K-Y AR JELLY 50 G,1 x 50 gr,K-Y AR JELLY 50 G1 x 50 gr 50 gr
KY NATURALS 50ML1 x 50 gr,50 gr,,,,,,,,,,,,,,,,,,3183365.0,KY NATURALS 50ML,1 x 50 gr,KY NATURALS 50ML1 x 50 gr 50 gr
STREPSILS MIEL Y LIMON X 8 CAR1 x 8 Comprimidos,8 Comprimidos,,,,,,,,,,,,,,,,,,298313.0,STREPSILS MIEL Y LIMON X 8 CAR,1 x 8 Comprimidos,STREPSILS MIEL Y LIMON X 8 CAR1 x 8 Comprimidos 8 Comprimidos
STREPSILS PLUS 8 LZ CAR1 x 8 Comprimidos,8 Comprimidos,,,,,,,,,,,,,,,,,,3020725.0,STREPSILS PLUS 8 LZ CAR,1 x 8 Comprimidos,STREPSILS PLUS 8 LZ CAR1 x 8 Comprimidos 8 Comprimidos
nanananananananan232,as  9,,,,,,,,,,,,,,,,,,,,,nanananananananan232 as  9
nanananananananan3,as,,,,,,,,,,,,,,,,,,,,,nanananananananan3 as
NATURALS,as X10,,,,,,,,,,,,,,,,,,,,,NATURALS as X10
nanananananananan1,as,,,,,,,,,,,,,,,,,,,,,nanananananananan1 as
DUO,as66,,,,,,,,,,,,,,,,,,,,,DUO as66
na,as,,,,,,,,,,,,,,,,,,,,,na as
nanananananan vent,as,,,,,,,,,,,,,,,,,,,,,nanananananan vent as
ESPADOSSLA,as 5,,,,,,,,,,,,,,,,,,,,,ESPADOSSLA as 5
nananananana,as,,,,,,,,,,,,,,,,,,,,,nananananana as
nanananan NATURALS,as,,,,,,,,,,,,,,,,,,,,,nanananan NATURALS as
anananan,as,,,,,,,,,,,,,,,,,,,,,anananan as
nanananananananan66,as,,,,,,,,,,,,,,,,,,,,,nanananananananan66 as
AEROGAL AEROSOL X 170 GR.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AEROGAL AEROSOL X 170 GR. 
AMINOTERAPIA CAP CHAMPU 120 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AMINOTERAPIA CAP CHAMPU 120 ML 
AMINOTERAPIA COMP. REC. X 120,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AMINOTERAPIA COMP. REC. X 120 
